site,T1,T2,T3
1,0.0693,0,-0.1901
3,0.0682,0,-0.0794
4,-0.0405,0,0.1074
6,0.0723,-0.1381,0
7,0.0331,0,-0.0594
8,0.0173,-0.0598,0
9,0.0922,0,-0.0764
10,0.1413,0,-0.0452
11,0.1446,-0.0387,0
12,0.0706,0,-0.253
13,0,0.024,-0.0246
14,0,0.0454,-0.0773
15,0,-0.0489,0.1354
16,0.0691,-0.0297,0
18,0,0.1937,-0.0477
19,0.1279,0,-0.1068
20,0.1458,-0.0505,0
21,0.1446,0,-0.1061
22,0.1888,-0.0204,0
23,0,0.0516,-0.042
24,0.1478,0,-0.0563
25,0.0847,0,-0.1009
26,0.0998,0,-0.0333
28,0,0.0107,-0.144
29,0.0552,0,-0.157
30,0.018,-0.0629,0
31,0.1759,-0.0037,0
32,-0.0064,0.0438,0
33,-0.0172,0,0.0144
34,0.1716,-0.0156,0
35,0,0.0531,-0.032
36,0.0704,-0.0294,0
37,0,0.0377,-0.0606
38,0.0226,0,-0.0719
39,0,-0.21,0.0544
40,0.2556,0,-0.0249
41,0.0065,-0.0105,0
42,0.0899,0,-0.0732
43,0.0193,0,-0.0746
44,0.0371,0,-0.0798
45,0.1976,0,-0.0097
46,0.083,0,-0.0622
47,0.1675,-0.0643,0
48,0.0047,-0.1892,0
49,0.0099,0,-0.1369
50,0.0863,-0.0791,0
51,0.13,0,-0.0729
53,0.0465,-0.0581,0
54,0.1239,0,-0.0132
55,0.0872,0,-0.0498
